,Player,Predicted Height (cm),Actual Height (cm),Difference
28,Michael Carter-Williams,193.38324324324321,195.58,2.1967567567567983
47,Wayne Ellington,194.13837837837835,193.04,1.0983783783783565
104,Enes Kanter,211.36918918918906,208.28,3.0891891891890566
126,Wesley Matthews,199.14972972972964,193.04,6.109729729729651
131,Jodie Meeks,195.374054054054,193.04,2.3340540540540076
137,Greg Monroe,208.0054054054053,210.82,2.814594594594695
139,Markieff Morris,204.22972972972963,203.0,1.2297297297296268
204,Andrew Bogut,206.49513513513506,213.36,6.8648648648649555
205,Donatas Motiejunas,209.17243243243232,213.36,4.187567567567697
206,Eric Moreland,205.39675675675664,208.28,2.8832432432433563
209,Malcolm Miller,203.95513513513504,200.66,3.295135135135041
