,type,id,properties.mag,properties.place,properties.time,properties.updated,properties.tz,properties.url,properties.detail,properties.felt,properties.cdi,properties.mmi,properties.alert,properties.status,properties.tsunami,properties.sig,properties.net,properties.code,properties.ids,properties.sources,properties.types,properties.nst,properties.dmin,properties.rms,properties.gap,properties.magType,properties.type,properties.title,geometry.type,geometry.coordinates,elevation
0,Feature,ak02021ksej,1.3,"38km SE of Tanana, Alaska",1577923094766,1578698317093,-540,https://earthquake.usgs.gov/earthquakes/eventpage/ak02021ksej,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak02021ksej&format=geojson,,,,,reviewed,0,26,ak,02021ksej,",ak02021ksej,",",ak,",",geoserve,origin,phase-data,",,,0.81,,ml,earthquake,"M 1.3 - 38km SE of Tanana, Alaska",Point,"[-151.5952, 64.8922, 2.5]",160
1,Feature,nc73322376,1.63,"10km ENE of Blackhawk, CA",1577922964240,1578714782310,-480,https://earthquake.usgs.gov/earthquakes/eventpage/nc73322376,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc73322376&format=geojson,,,,,reviewed,0,41,nc,73322376,",nc73322376,",",nc,",",geoserve,nearby-cities,origin,phase-data,scitech-link,",24.0,0.03565,0.09,129.0,md,earthquake,"M 1.6 - 10km ENE of Blackhawk, CA",Point,"[-121.7943333, 37.8455, 12.65]",228
2,Feature,nc73322371,1.46,"14km S of Tres Pinos, CA",1577922767220,1578711483123,-480,https://earthquake.usgs.gov/earthquakes/eventpage/nc73322371,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc73322371&format=geojson,,,,,reviewed,0,33,nc,73322371,",nc73322371,",",nc,",",geoserve,nearby-cities,origin,phase-data,scitech-link,",20.0,0.04473,0.07,88.0,md,earthquake,"M 1.5 - 14km S of Tres Pinos, CA",Point,"[-121.2945, 36.6706667, 5.04]",246
3,Feature,pr2020001292,1.56,"7km SW of Tallaboa, Puerto Rico",1577922752460,1580842169686,-240,https://earthquake.usgs.gov/earthquakes/eventpage/pr2020001292,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=pr2020001292&format=geojson,,,,,reviewed,0,37,pr,2020001292,",pr2020001292,",",pr,",",geoserve,origin,phase-data,",3.0,0.1206,0.17,351.0,md,earthquake,"M 1.6 - 7km SW of Tallaboa, Puerto Rico",Point,"[-66.7623, 17.9455, 8]",1
4,Feature,pr2020001291,1.78,"6km SSE of Guanica, Puerto Rico",1577922719530,1580842152711,-240,https://earthquake.usgs.gov/earthquakes/eventpage/pr2020001291,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=pr2020001291&format=geojson,,,,,reviewed,0,49,pr,2020001291,",pr2020001291,",",pr,",",geoserve,origin,phase-data,",4.0,0.0617,0.62,275.0,md,earthquake,"M 1.8 - 6km SSE of Guanica, Puerto Rico",Point,"[-66.884, 17.9136, 3]",0
5,Feature,ak02021i7r2,2.2,"92km SE of Adak, Alaska",1577922377406,1578698315901,-720,https://earthquake.usgs.gov/earthquakes/eventpage/ak02021i7r2,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak02021i7r2&format=geojson,,,,,reviewed,0,74,ak,02021i7r2,",ak02021i7r2,",",ak,",",geoserve,origin,phase-data,",,,0.56,,ml,earthquake,"M 2.2 - 92km SE of Adak, Alaska",Point,"[-175.5775, 51.396, 25.5]",1
6,Feature,pr2020001020,2.57,"15km SSE of Guanica, Puerto Rico",1577922241220,1579314289040,-240,https://earthquake.usgs.gov/earthquakes/eventpage/pr2020001020,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=pr2020001020&format=geojson,,,,,reviewed,0,102,pr,2020001020,",pr2020001020,us70006tcr,",",pr,us,",",geoserve,origin,phase-data,",14.0,0.0732,0.38,214.0,md,earthquake,"M 2.6 - 15km SSE of Guanica, Puerto Rico",Point,"[-66.8436, 17.9111, 3]",0
7,Feature,nc73322366,0.27,"7km WNW of The Geysers, CA",1577921809460,1578704342556,-480,https://earthquake.usgs.gov/earthquakes/eventpage/nc73322366,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc73322366&format=geojson,,,,,reviewed,0,1,nc,73322366,",nc73322366,",",nc,",",geoserve,nearby-cities,origin,phase-data,scitech-link,",10.0,0.0004207,0.01,90.0,md,earthquake,"M 0.3 - 7km WNW of The Geysers, CA",Point,"[-122.8286667, 38.809, 2.31]",345
8,Feature,ci39020327,0.67,"16km SSW of La Quinta, CA",1577921617840,1577974998397,-480,https://earthquake.usgs.gov/earthquakes/eventpage/ci39020327,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci39020327&format=geojson,,,,,reviewed,0,7,ci,39020327,",ci39020327,",",ci,",",geoserve,nearby-cities,origin,phase-data,scitech-link,",25.0,0.07965,0.16,105.0,ml,earthquake,"M 0.7 - 16km SSW of La Quinta, CA",Point,"[-116.4036667, 33.545, 11.04]",997
9,Feature,ci39020319,1.16,"16km SSW of La Quinta, CA",1577921520810,1577975052770,-480,https://earthquake.usgs.gov/earthquakes/eventpage/ci39020319,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci39020319&format=geojson,,,,,reviewed,0,21,ci,39020319,",ci39020319,",",ci,",",focal-mechanism,geoserve,nearby-cities,origin,phase-data,scitech-link,",46.0,0.0218,0.19,79.0,ml,earthquake,"M 1.2 - 16km SSW of La Quinta, CA",Point,"[-116.4078333, 33.5393333, 9.06]",996
