,Player,Predicted Height (cm),Actual Height (cm),Difference
28,Michael Carter-Williams,193.71859488872695,195.58,1.8614051112730579
47,Wayne Ellington,194.5364149423214,193.04,1.496414942321394
104,Enes Kanter,214.56185345022385,208.28,6.281853450223849
126,Wesley Matthews,198.8253863839701,193.04,5.7853863839701205
131,Jodie Meeks,198.66897755178803,193.04,5.62897755178804
137,Greg Monroe,211.93250316770076,210.82,1.1125031677007655
139,Markieff Morris,207.23837565766243,203.0,4.238375657662431
204,Andrew Bogut,212.74789546450398,213.36,0.6121045354960302
205,Donatas Motiejunas,202.26265415942237,213.36,11.097345840577646
206,Eric Moreland,206.05681591871152,208.28,2.2231840812884798
209,Malcolm Miller,198.74831114199065,200.66,1.9116888580093416
