,games_played,player_id,season,min,fgm,fga,fg3m,fg3a,ftm,fta,oreb,dreb,reb,ast,stl,blk,turnover,pf,pts,fg_pct,fg3_pct,ft_pct,player_name
0,80,3,2018,33:19,6.01,10.09,0.0,0.03,1.83,3.65,4.89,4.61,9.5,1.55,1.48,0.95,1.71,2.55,13.85,0.596,0.0,0.5,Steven Adams
1,81,6,2018,33:10,8.44,16.28,0.12,0.52,4.31,5.09,3.11,6.09,9.2,2.4,0.53,1.32,1.78,2.21,21.32,0.519,0.238,0.847,LaMarcus Aldridge
2,48,8,2018,8:40,1.4,3.71,0.67,2.06,0.94,1.25,0.06,0.44,0.5,0.52,0.1,0.13,0.69,0.98,4.4,0.376,0.323,0.75,Grayson Allen
3,80,9,2018,26:12,4.19,7.1,0.08,0.56,2.46,3.48,2.4,6.01,8.41,1.38,0.55,1.5,1.3,2.3,10.91,0.59,0.133,0.709,Jarrett Allen
4,82,10,2018,27:56,3.13,7.23,1.17,3.41,1.83,2.11,1.37,6.07,7.44,1.27,0.83,0.4,0.88,1.74,9.27,0.433,0.343,0.867,Al-Farouq Aminu
5,72,15,2018,32:45,10.01,17.32,0.72,2.82,6.94,9.53,2.22,10.26,12.49,5.89,1.26,1.53,3.72,3.22,27.69,0.578,0.256,0.729,Giannis Antetokounmpo
6,81,21,2018,28:00,3.93,8.36,1.62,3.84,2.23,2.58,0.51,2.0,2.51,5.26,0.64,0.05,1.58,1.42,11.7,0.47,0.421,0.866,D.J. Augustin
7,43,31,2018,27:39,4.3,10.7,1.56,4.56,1.33,1.72,0.74,3.88,4.63,2.86,0.42,0.51,1.51,1.93,11.49,0.402,0.342,0.77,Will Barton
8,51,35,2018,16:05,2.06,4.37,0.41,1.2,1.04,1.22,1.73,2.98,4.71,1.12,0.24,0.67,0.78,2.45,5.57,0.471,0.344,0.855,Aron Baynes
9,81,38,2018,23:11,4.31,9.1,2.01,5.0,0.69,0.81,0.43,2.04,2.47,1.2,0.68,0.12,0.68,1.43,11.32,0.474,0.402,0.848,Malik Beasley
10,79,40,2018,22:58,3.61,8.73,1.86,5.0,1.42,1.57,0.19,2.3,2.49,1.67,0.44,0.1,0.9,1.53,10.49,0.413,0.372,0.903,Marco Belinelli
11,74,41,2018,10:39,1.34,2.59,0.0,0.03,0.34,0.55,0.74,1.76,2.5,1.04,0.26,0.69,0.57,1.08,3.01,0.516,0.0,0.61,Jordan Bell
12,76,44,2018,21:28,2.68,5.96,1.91,4.45,0.7,0.79,0.3,3.17,3.47,1.32,0.46,0.43,0.57,1.75,7.97,0.45,0.429,0.883,Davis Bertans
13,78,45,2018,27:24,2.49,6.09,1.44,3.6,1.23,1.58,0.96,3.99,4.95,3.86,0.86,0.55,1.1,3.4,7.64,0.408,0.399,0.78,Patrick Beverley
14,50,46,2018,12:51,1.82,3.02,0.0,0.02,1.16,1.66,1.58,2.22,3.8,0.76,0.36,0.6,0.4,1.44,4.8,0.603,0.0,0.699,Khem Birch
15,80,51,2018,28:23,5.88,12.15,1.55,4.71,2.21,2.95,1.03,3.5,4.53,5.38,1.46,0.36,2.06,1.95,15.51,0.484,0.329,0.75,Eric Bledsoe
16,81,54,2018,31:45,6.44,12.96,2.02,4.77,3.04,3.77,0.41,3.7,4.11,1.99,0.85,0.01,1.67,1.7,17.95,0.497,0.425,0.807,Bojan Bogdanovic
17,54,55,2018,11:49,1.48,3.0,0.63,1.78,0.24,0.5,0.87,2.19,3.06,0.74,0.31,0.72,0.67,1.83,3.83,0.494,0.354,0.481,Jonah Bolden
18,40,58,2018,4:04,0.85,1.9,0.3,0.93,0.33,0.38,0.4,1.0,1.4,0.05,0.15,0.6,0.18,0.78,2.33,0.447,0.324,0.867,Chris Boucher
19,64,65,2018,28:37,5.91,11.67,1.63,3.81,2.2,2.38,1.02,3.47,4.48,3.2,0.73,0.19,1.44,1.59,15.64,0.506,0.426,0.928,Malcolm Brogdon
20,74,69,2018,19:35,1.69,4.26,0.32,1.26,0.61,0.81,0.65,1.85,2.5,1.23,0.54,0.49,0.62,2.41,4.31,0.397,0.258,0.75,Bruce Brown
21,74,70,2018,25:51,4.97,10.7,1.28,3.73,1.8,2.73,0.88,3.35,4.23,1.35,0.93,0.43,1.34,2.51,13.03,0.465,0.344,0.658,Jaylen Brown
22,58,72,2018,17:50,2.5,5.38,0.91,2.53,0.5,0.72,0.48,2.67,3.16,1.45,0.43,0.14,0.79,1.52,6.41,0.465,0.361,0.69,Sterling Brown
23,41,78,2018,5:41,0.8,2.0,0.2,0.66,0.2,0.29,0.1,0.56,0.66,0.22,0.15,0.2,0.15,0.71,2.0,0.402,0.296,0.667,Deonte Burton
24,65,79,2018,33:36,6.43,13.91,1.03,2.97,4.8,5.62,1.88,3.4,5.28,4.05,1.89,0.6,1.45,1.71,18.69,0.462,0.347,0.855,Jimmy Butler
25,57,80,2018,11:05,0.79,2.11,0.25,1.0,0.16,0.19,0.19,0.86,1.05,2.02,0.28,0.05,0.61,1.12,1.98,0.375,0.246,0.818,Jose Calderon
26,67,83,2018,33:33,7.07,10.93,0.0,0.0,2.48,3.9,4.45,8.19,12.64,1.43,0.66,1.52,1.39,2.51,16.63,0.648,0.0,0.636,Clint Capela
27,67,84,2018,25:25,3.39,8.58,1.58,4.63,2.75,3.61,1.01,4.18,5.19,1.27,0.45,0.15,1.09,1.7,11.1,0.395,0.342,0.76,DeMarre Carroll
28,28,86,2018,13:16,1.64,4.39,0.36,1.36,1.14,1.89,0.68,1.82,2.5,2.5,0.71,0.57,0.71,1.71,4.79,0.374,0.263,0.604,Michael Carter-Williams
29,52,95,2018,22:37,2.19,5.25,1.13,3.04,0.35,0.48,0.92,3.19,4.12,1.58,0.48,0.4,0.88,2.37,5.87,0.418,0.373,0.72,Wilson Chandler
30,63,98,2018,10:10,0.79,2.4,0.65,2.19,0.11,0.11,0.38,1.46,1.84,0.29,0.32,0.41,0.11,0.75,2.35,0.331,0.297,1.0,Gary Clark
31,82,102,2018,16:32,2.3,4.88,0.49,1.48,1.15,1.54,1.32,2.62,3.94,0.87,0.3,0.8,0.93,2.12,6.24,0.473,0.331,0.746,Zach Collins
32,76,103,2018,28:12,4.05,8.67,1.04,2.55,2.08,2.5,0.47,2.57,3.04,6.04,1.45,0.12,1.63,1.82,11.22,0.467,0.407,0.832,Darren Collison
33,63,105,2018,20:01,2.59,5.56,1.05,3.17,0.46,0.63,0.97,3.13,4.1,1.94,0.52,0.4,0.52,1.29,6.68,0.466,0.33,0.725,Pat Connaughton
34,74,106,2018,14:18,2.76,5.93,1.09,2.7,0.27,0.35,0.28,1.82,2.11,1.54,0.27,0.04,0.68,1.24,6.88,0.465,0.405,0.769,Quinn Cook
35,30,107,2018,25:41,5.93,12.37,0.87,3.17,3.53,4.8,1.43,6.77,8.2,3.57,1.33,1.47,2.4,3.63,16.27,0.48,0.274,0.736,DeMarcus Cousins
36,76,110,2018,19:46,2.11,4.76,0.8,2.47,0.64,0.92,1.18,2.29,3.47,0.95,0.49,0.61,0.57,2.3,5.66,0.442,0.324,0.7,Torrey Craig
37,80,112,2018,27:04,3.98,9.98,2.16,6.53,1.78,2.46,0.75,4.05,4.8,1.66,0.8,0.39,1.06,2.13,11.89,0.398,0.331,0.721,Jae Crowder
38,75,113,2018,12:22,1.0,2.11,0.4,0.87,0.19,0.24,0.64,1.87,2.51,0.67,0.36,0.17,0.29,0.95,2.59,0.475,0.462,0.778,Dante Cunningham
39,76,114,2018,18:24,2.79,6.12,1.49,3.3,0.58,0.68,0.36,1.22,1.58,0.87,0.46,0.16,0.8,1.28,7.64,0.456,0.45,0.846,Seth Curry
40,69,115,2018,33:47,9.16,19.42,5.13,11.74,3.81,4.16,0.65,4.7,5.35,5.23,1.33,0.38,2.78,2.41,27.26,0.472,0.437,0.916,Stephen Curry
41,81,118,2018,17:51,2.3,3.73,0.0,0.02,1.23,2.0,2.67,5.91,8.58,0.75,0.43,0.41,0.8,2.79,5.83,0.616,0.0,0.617,Ed Davis
42,77,125,2018,34:54,8.19,17.06,0.09,0.58,4.75,5.73,0.7,5.3,6.0,6.17,1.13,0.47,2.57,2.3,21.23,0.48,0.156,0.83,DeMar DeRozan
43,68,130,2018,28:08,5.38,12.18,1.82,5.44,4.22,5.24,0.38,2.06,2.44,4.57,0.59,0.25,2.22,2.75,16.81,0.442,0.335,0.806,Spencer Dinwiddie
44,79,137,2018,33:30,7.1,13.32,0.06,0.48,3.08,5.22,5.37,10.24,15.61,1.42,1.73,1.75,2.22,3.44,17.34,0.533,0.132,0.59,Andre Drummond
45,66,138,2018,18:28,1.53,3.62,0.8,2.29,0.48,0.7,0.52,1.83,2.35,1.26,0.55,0.24,0.65,1.98,4.35,0.423,0.351,0.696,Jared Dudley
46,78,140,2018,34:38,9.24,17.73,1.76,4.97,5.74,6.49,0.42,5.95,6.37,5.86,0.74,1.08,2.88,1.99,25.99,0.521,0.353,0.885,Kevin Durant
47,53,144,2018,24:28,3.47,8.62,2.6,7.02,0.74,0.92,0.26,1.75,2.02,1.36,1.02,0.11,0.75,1.74,10.28,0.403,0.371,0.796,Wayne Ellington
