,id,ast,blk,dreb,fg3_pct,fg3a,fg3m,fg_pct,fga,fgm,ft_pct,fta,ftm,min,oreb,pf,pts,reb,stl,turnover,game.id,game.date,game.home_team_id,game.home_team_score,game.period,game.postseason,game.season,game.status,game.time,game.visitor_team_id,game.visitor_team_score,player.id,player.first_name,player.height_feet,player.height_inches,player.last_name,player.position,player.team_id,player.weight_pounds,team.id,team.abbreviation,team.city,team.conference,team.division,team.full_name,team.name,was home team,home team won,was away team,away team won,won game
0,1457708,11,1,13,40.0,5,2,64.7,17,11,54.5,11,6,28:10,0,6,30,13,1,3,62598,2019-10-24T00:00:00.000Z,11,111,4,False,2019,Final,     ,17,117,15,Giannis,6,11,Antetokounmpo,F,17,242,17,MIL,Milwaukee,East,Central,Milwaukee Bucks,Bucks,False,False,True,True,True
1,1465906,9,2,14,0.0,5,0,57.1,21,12,55.6,9,5,36:38,3,6,29,17,3,8,62609,2019-10-26T00:00:00.000Z,17,126,5,False,2019,Final,     ,16,131,15,Giannis,6,11,Antetokounmpo,F,17,242,17,MIL,Milwaukee,East,Central,Milwaukee Bucks,Bucks,True,False,False,True,False
2,1590920,4,1,11,16.7,6,1,70.6,17,12,61.5,13,8,30:08,0,2,33,11,1,4,62787,2019-11-20T00:00:00.000Z,1,127,4,False,2019,Final,     ,17,135,15,Giannis,6,11,Antetokounmpo,F,17,242,17,MIL,Milwaukee,East,Central,Milwaukee Bucks,Bucks,False,False,True,True,True
3,1636729,2,2,9,25.0,8,2,53.8,26,14,75.0,4,3,32:02,3,0,33,12,2,3,62853,2019-11-29T00:00:00.000Z,6,110,4,False,2019,Final,     ,17,119,15,Giannis,6,11,Antetokounmpo,F,17,242,17,MIL,Milwaukee,East,Central,Milwaukee Bucks,Bucks,False,False,True,True,True
4,1582815,2,1,8,33.3,6,2,59.1,22,13,41.7,12,5,33:43,2,5,33,10,3,8,62775,2019-11-18T00:00:00.000Z,5,101,4,False,2019,Final,     ,17,115,15,Giannis,6,11,Antetokounmpo,F,17,242,17,MIL,Milwaukee,East,Central,Milwaukee Bucks,Bucks,False,False,True,True,True
5,1626541,4,4,8,20.0,5,1,52.2,23,12,38.5,13,5,35:11,2,5,30,10,0,4,62844,2019-11-27T00:00:00.000Z,17,111,4,False,2019,Final,     ,1,102,15,Giannis,6,11,Antetokounmpo,F,17,242,17,MIL,Milwaukee,East,Central,Milwaukee Bucks,Bucks,True,True,False,False,True
6,1726972,4,1,10,16.7,6,1,58.1,31,18,68.8,16,11,34:23,4,3,48,14,1,3,62981,2019-12-16T00:00:00.000Z,17,116,4,False,2019,Final,     ,7,120,15,Giannis,6,11,Antetokounmpo,F,17,242,17,MIL,Milwaukee,East,Central,Milwaukee Bucks,Bucks,True,False,False,True,False
7,2156623,4,1,14,0.0,3,0,56.5,23,13,63.6,11,7,31:47,2,4,33,16,3,2,63403,2020-02-20T00:00:00.000Z,9,106,4,False,2019,Final,     ,17,126,15,Giannis,6,11,Antetokounmpo,F,17,242,17,MIL,Milwaukee,East,Central,Milwaukee Bucks,Bucks,False,False,True,True,True
8,1561329,4,1,11,20.0,5,1,54.2,24,13,55.0,20,11,35:50,5,4,38,16,3,5,62746,2019-11-14T00:00:00.000Z,17,124,4,False,2019,Final,     ,5,115,15,Giannis,6,11,Antetokounmpo,F,17,242,17,MIL,Milwaukee,East,Central,Milwaukee Bucks,Bucks,True,True,False,False,True
9,1570950,6,1,10,50.0,6,3,58.8,17,10,60.0,5,3,28:24,3,1,26,13,1,5,62759,2019-11-16T00:00:00.000Z,12,83,4,False,2019,Final,     ,17,102,15,Giannis,6,11,Antetokounmpo,F,17,242,17,MIL,Milwaukee,East,Central,Milwaukee Bucks,Bucks,False,False,True,True,True
10,1477721,7,2,9,0.0,2,0,33.3,15,5,50.0,8,4,29:12,1,2,14,10,0,2,62629,2019-10-28T00:00:00.000Z,17,129,4,False,2019,Final,     ,6,112,15,Giannis,6,11,Antetokounmpo,F,17,242,17,MIL,Milwaukee,East,Central,Milwaukee Bucks,Bucks,True,True,False,False,True
11,1498681,6,0,12,25.0,4,1,62.5,16,10,72.7,11,8,30:16,2,4,29,14,2,7,62654,2019-11-01T00:00:00.000Z,22,91,4,False,2019,Final,     ,17,123,15,Giannis,6,11,Antetokounmpo,F,17,242,17,MIL,Milwaukee,East,Central,Milwaukee Bucks,Bucks,False,False,True,True,True
12,1504994,8,4,13,50.0,2,1,70.0,20,14,70.0,10,7,36:25,2,3,36,15,1,3,62665,2019-11-02T00:00:00.000Z,17,115,4,False,2019,Final,     ,28,105,15,Giannis,6,11,Antetokounmpo,F,17,242,17,MIL,Milwaukee,East,Central,Milwaukee Bucks,Bucks,True,True,False,False,True
13,1532888,4,2,9,33.3,6,2,45.5,22,10,61.5,13,8,36:25,4,6,30,13,2,5,62707,2019-11-08T00:00:00.000Z,29,103,4,False,2019,Final,     ,17,100,15,Giannis,6,11,Antetokounmpo,F,17,242,17,MIL,Milwaukee,East,Central,Milwaukee Bucks,Bucks,False,True,True,False,False
14,1694064,8,1,11,40.0,5,2,54.5,22,12,50.0,12,6,34:43,4,3,32,15,1,2,62930,2019-12-09T00:00:00.000Z,17,110,4,False,2019,Final,     ,22,101,15,Giannis,6,11,Antetokounmpo,F,17,242,17,MIL,Milwaukee,East,Central,Milwaukee Bucks,Bucks,True,True,False,False,True
15,1762021,9,2,14,33.3,3,1,47.1,17,8,50.0,2,1,30:55,5,2,18,19,2,4,63024,2019-12-22T00:00:00.000Z,17,117,4,False,2019,Final,     ,12,89,15,Giannis,6,11,Antetokounmpo,F,17,242,17,MIL,Milwaukee,East,Central,Milwaukee Bucks,Bucks,True,True,False,False,True
16,2182260,8,3,19,50.0,4,2,35.7,14,5,87.5,8,7,38:00,0,1,19,19,0,4,63441,2020-02-25T00:00:00.000Z,28,97,4,False,2019,Final,     ,17,108,15,Giannis,6,11,Antetokounmpo,F,17,242,17,MIL,Milwaukee,East,Central,Milwaukee Bucks,Bucks,False,False,True,True,True
17,2195899,6,0,11,50.0,4,2,65.0,20,13,80.0,5,4,27:17,2,2,32,13,0,3,63465,2020-02-28T00:00:00.000Z,17,133,4,False,2019,Final,     ,21,86,15,Giannis,6,11,Antetokounmpo,F,17,242,17,MIL,Milwaukee,East,Central,Milwaukee Bucks,Bucks,True,True,False,False,True
18,2176303,2,1,12,0.0,0,0,66.7,12,8,75.0,8,6,24:51,2,6,22,14,0,8,63434,2020-02-24T00:00:00.000Z,30,134,5,False,2019,Final,     ,17,137,15,Giannis,6,11,Antetokounmpo,F,17,242,17,MIL,Milwaukee,East,Central,Milwaukee Bucks,Bucks,False,False,True,True,True
19,1542110,3,1,14,66.7,3,2,68.4,19,13,77.8,9,7,36:25,2,3,35,16,1,7,62718,2019-11-10T00:00:00.000Z,21,119,4,False,2019,Final,     ,17,121,15,Giannis,6,11,Antetokounmpo,F,17,242,17,MIL,Milwaukee,East,Central,Milwaukee Bucks,Bucks,False,False,True,True,True
20,1676920,4,0,8,25.0,4,1,55.0,20,11,66.7,6,4,26:20,3,3,27,11,0,4,62910,2019-12-06T00:00:00.000Z,17,119,4,False,2019,Final,     ,13,91,15,Giannis,6,11,Antetokounmpo,F,17,242,17,MIL,Milwaukee,East,Central,Milwaukee Bucks,Bucks,True,True,False,False,True
